date,SO2_GijonGlobal,NO_GijonGlobal,NO2_GijonGlobal,CO_GijonGlobal,PM10_GijonGlobal,O3_GijonGlobal,velmedia_GijonCampus,racha_GijonCampus,tmed_Gijon,prec_Gijon,sol_Gijon,presMin_Gijon,presMax_Gijon,dir_Gijon,velmedia_Gijon,racha_Gijon,C01_BibioArenaMestas_trafico,C02_CentroPlaya_trafico,C03_CentroLlano_trafico,C04_LaviadaPoligono_trafico,C05_CotoViesques_trafico,C06_LlanoPumarin_trafico,C07_LlanoMontevil_trafico,C08_NuevoGijonBrana_trafico,C09_LaCalzada_trafico,C10_ContruecesGijonSurRoces_trafico,C11_NatahoyoMoredaTremañes_trafico,C12_Ceares_trafico,ICA_PM25_target
2023-12-18,14.0,141.0,73.0,0.86,164.0,72.0,1.1,4.7,7.7,0.0,7.35,1028.2666666666669,1031.4333333333334,27.5,1.65,5.95,3231.0,3476.5,3357.0,4015.0,2944.0,2143.5,3514.0,2976.0,2974.0,2516.0,3116.0,5822.0,
2021-12-13,26.0,239.0,75.0,6.45,199.0,38.0,1.1,3.3,10.433333333333332,0.0,7.766666666666667,1014.3333333333334,1018.6333333333332,59.0,1.8,6.5,3938.5,3315.0,3225.0,4167.0,3471.0,2108.0,2678.0,2900.0,3111.0,2571.0,2900.0,5953.5,1.0
2022-10-13,21.0,43.0,42.0,2.16,70.0,58.0,1.7,6.9,17.633333333333333,0.0,7.35,1016.1333333333332,1017.8666666666668,25.5,1.7999999999999998,8.05,3884.0,3114.5,2973.0,3601.5,2922.0,1997.0,3178.0,2559.5,2580.0,2237.0,3024.0,5561.0,0.0
2019-07-29,26.0,57.0,31.0,3.87,86.0,71.0,3.6,14.2,20.433333333333334,0.0,10.233333333333333,1002.9333333333332,1011.7666666666668,28.0,6.1,15.3,4331.0,5195.5,3278.0,5363.5,3406.0,2317.5,2396.0,3154.5,2859.0,2352.5,3076.0,6033.0,0.0
2021-11-26,19.0,44.0,67.0,3.02,77.0,76.0,1.9,9.2,9.166666666666666,16.900000000000002,0.85,1003.1333333333332,1010.7999999999998,25.0,3.45,12.65,3898.5,3674.5,3506.0,4628.0,3815.0,3815.0,2999.0,3314.0,3461.0,2988.0,3322.0,6608.0,0.0
2020-10-04,15.0,7.0,31.0,2.48,33.0,71.0,3.3,12.2,13.9,19.33333333333333,2.1,997.1666666666666,1006.2666666666668,64.5,6.800000000000001,17.2,1854.5,2051.5,1628.0,2284.0,1671.0,1095.0,1316.5,1185.5,1419.0,995.0,1055.5,2710.0,0.0
2021-11-09,6.0,115.0,69.0,1.42,102.0,68.0,1.7,6.1,12.0,0.0,1.0666666666666669,1015.1666666666666,1018.2,5.5,2.5,6.949999999999999,4184.5,3346.5,2977.0,4293.0,3527.0,3527.0,2614.0,3080.0,3402.0,2551.0,2754.5,5927.0,1.0
2023-08-09,11.0,43.0,36.0,1.04,65.0,101.0,2.5,11.9,22.133333333333336,0.0,9.4,1007.7,1013.4333333333334,63.5,3.2,12.35,3653.0,3246.5,3773.0,3869.5,2808.0,1836.0,3029.0,2620.5,3041.5,2091.5,2806.5,5528.0,0.0
2023-02-14,26.0,170.0,93.0,3.84,92.0,80.0,1.1,6.9,12.8,0.0,8.2,1015.1666666666666,1021.1333333333332,11.5,1.95,7.9,4445.0,3405.5,3034.0,4016.0,2950.0,2163.0,3389.0,2674.5,2206.0,2151.0,2971.5,5936.0,1.0
2023-04-27,6.0,42.0,35.0,1.19,42.0,73.0,1.9,5.8,17.666666666666668,0.0666666666666666,10.55,1007.2333333333332,1009.6333333333332,28.0,2.2,6.8,4266.0,3613.0,3267.0,4302.5,2657.0,1841.5,3390.0,3100.0,2763.5,2178.0,3024.0,6201.0,0.0
